IDSTUD;ITSEX;IDBOOK;ASBG01;ASBG03;ASBG04;ASBG05A;ASBG05B;ASBG05C;ASBG05D;ASBG05E;ASBG05F;ASBG05G;ASBG05H;ASBG05I;ASBG05J;ASBG05K;ASBG06;ASBG07A;ASBG07B;ASBG08A;ASBG08B;ASBG09A;ASBG09B;ASBG09C;ASBG09D;ASBG09E;ASBG09F;ASBG09G;ASBG09H;ASBG10A;ASBG10B;ASBG10C;ASBG10D;ASBG10E;ASBG10F;ASBG11A;ASBG11B;ASBG11C;ASBG11D;ASBG11E;ASBG11F;ASBG11G;ASBG11H;ASBG11I;ASBG11J;ASBR01A;ASBR01B;ASBR01C;ASBR01D;ASBR01E;ASBR01F;ASBR01G;ASBR01H;ASBR01I;ASBR02A;ASBR02B;ASBR02C;ASBR02D;ASBR02E;ASBR03A;ASBR03B;ASBR03C;ASBR04;ASBR05;ASBR06A;ASBR06B;ASBR07A;ASBR07B;ASBR07C;ASBR07D;ASBR07E;ASBR07F;ASBR07G;ASBR07H;ASBR08A;ASBR08B;ASBR08C;ASBR08D;ASBR08E;ASBR08F;ASDAGE;TOTWGT;SENWGT;JKREP;JKZONE;ASRREA01;ASRREA02;ASRREA03;ASRREA04;ASRREA05;ASRLIT01;ASRLIT02;ASRLIT03;ASRLIT04;ASRLIT05;ASRINF01;ASRINF02;ASRINF03;ASRINF04;ASRINF05;ASRIIE01;ASRIIE02;ASRIIE03;ASRIIE04;ASRIIE05;ASRRSI01;ASRRSI02;ASRRSI03;ASRRSI04;ASRRSI05;ASRIBM01;ASRIBM02;ASRIBM03;ASRIBM04;ASRIBM05
50010101;1;13;1;1;4;1;1;1;1;2;2;1;1;2;1;1;3;2;2;2;2;1;2;2;3;3;2;3;1;2;3;2;2;3;1;4;4;3;2;4;4;4;3;4;4;2;2;3;2;2;3;2;2;2;4;4;3;4;4;2;1;2;2;9;2;1;2;1;3;2;2;2;2;3;2;2;1;3;4;3;9.75;8.261494;0.0518;1;7;506.9234;469.51545;495.80434;513.98558;529.08604;499.7062;515.68167;536.56207;512.41663;490.2342;476.55813;449.75354;521.36814;454.34254;464.80838;515.50557;489.77397;494.80873;490.57267;498.26973;535.2233;530.54394;515.18853;498.92507;518.54148;3;2;3;3;3
50010102;1;14;1;1;3;1;1;1;1;2;1;1;1;2;1;2;5;2;3;1;1;1;2;1;1;2;1;1;1;2;2;1;1;1;1;2;2;3;2;4;3;2;4;4;4;2;9;9;1;1;2;1;1;1;1;2;3;3;4;2;1;2;2;4;3;3;2;2;2;9;1;2;3;2;2;3;1;1;1;1;10.08;8.261494;0.0518;1;7;440.95137;412.64812;410.95263;408.89754;451.1565;426.36939;389.14988;424.25445;428.78744;402.19909;443.02763;381.26397;413.19932;419.37406;386.87309;422.506;412.46379;411.19659;422.25957;433.87421;422.20883;432.32808;410.65784;443.63015;422.36438;2;2;2;2;2
50010104;2;4;2;1;3;2;1;1;1;2;1;1;1;1;2;2;5;2;1;2;3;1;2;2;3;3;3;2;1;2;2;2;1;1;1;4;2;3;4;4;4;4;4;4;4;3;2;2;2;2;3;3;2;1;3;3;2;3;4;4;1;2;4;1;4;3;3;3;2;3;4;2;3;3;2;2;3;2;3;2;10.08;8.261494;0.0518;1;7;423.87169;423.49556;427.9504;431.21754;418.77499;432.95896;417.00801;489.72948;459.50808;447.88815;425.03922;367.84123;410.74211;414.63899;427.70389;393.29789;432.49547;396.82014;431.70733;430.6672;435.89561;452.88379;416.82396;432.53163;475.06636;2;2;2;2;2
50010106;2;17;2;1;4;1;1;1;1;1;1;1;2;2;2;2;1;2;3;1;1;2;1;2;2;1;3;2;1;1;1;1;2;1;1;4;2;1;4;4;4;4;4;4;4;1;1;1;1;1;2;1;1;1;2;1;4;3;2;1;2;1;2;2;1;1;1;2;4;2;1;1;1;1;1;1;3;4;4;4;9.75;8.261494;0.0518;1;7;513.77249;593.18953;553.64967;534.69732;597.98657;537.95915;553.96106;549.78374;549.78595;579.36638;568.5702;554.21348;589.22382;546.90701;564.33804;514.2729;577.41453;547.39938;575.64404;545.66512;515.10866;641.21909;588.59113;611.44524;588.7113;3;4;4;3;4
50010107;2;5;2;3;4;1;1;1;1;2;1;2;1;2;1;2;5;3;3;2;2;1;1;1;2;1;1;2;2;1;1;1;1;1;1;2;2;2;4;3;2;4;4;4;3;1;1;1;1;1;2;2;1;1;4;3;3;4;3;1;2;1;2;4;1;2;2;1;4;1;1;2;1;2;1;1;3;4;4;4;10.5;8.261494;0.0518;1;7;580.54995;625.6198;585.8028;622.82283;584.08812;611.01231;566.47755;612.76915;636.44475;599.00344;601.25884;534.7883;575.37717;640.76238;624.33634;571.12418;603.60217;616.73612;567.66074;574.25108;572.42392;602.62146;575.17098;588.86853;553.53377;4;5;4;4;4
50010108;2;6;2;1;4;1;1;2;1;2;2;2;1;2;1;2;5;3;4;2;2;1;1;1;1;1;1;1;4;1;2;1;1;1;1;4;3;3;4;4;4;4;4;4;4;1;1;1;1;2;3;3;2;2;4;3;3;4;4;2;4;4;1;2;1;1;3;3;3;2;1;2;2;2;1;1;4;4;4;4;9.67;8.261494;0.0518;1;7;493.41574;549.0145;538.13131;540.2183;544.1906;564.76655;601.49154;567.36925;546.89326;537.18947;535.34318;570.93108;566.37303;526.72243;553.86435;532.52276;508.46963;581.20108;572.23035;570.92222;532.21052;507.62786;582.52666;576.10038;574.73685;3;3;3;3;3
50010109;2;7;2;2;4;1;1;1;1;2;1;2;1;1;1;2;4;3;2;2;2;1;2;3;3;2;3;4;2;3;2;2;2;1;1;4;3;3;3;3;4;4;4;4;3;3;3;2;3;3;3;2;3;3;3;3;3;4;4;3;4;4;3;2;1;4;4;3;3;2;2;3;4;3;2;2;3;3;4;4;9.67;8.261494;0.0518;1;7;509.32258;470.72598;514.68939;470.03767;491.25106;467.70137;502.64967;465.98258;496.19075;517.08162;499.09108;529.72949;528.00202;541.74763;517.68196;505.85692;513.46178;509.49283;496.48779;492.91934;523.15409;527.96782;514.58063;496.27953;540.14919;3;2;3;2;3
50010110;2;8;2;1;4;1;1;1;2;2;2;2;1;2;2;2;5;3;4;2;2;2;2;2;2;3;3;3;3;2;1;9;2;1;1;4;2;4;4;4;3;4;4;4;4;3;3;2;2;3;3;3;1;2;4;3;3;4;4;2;3;2;4;1;2;3;4;3;3;2;2;2;4;2;1;1;3;2;4;4;10;8.261494;0.0518;1;7;573.26507;511.12914;500.09244;536.58404;574.34401;485.36593;518.18201;505.88095;502.88531;544.55636;530.25822;520.61098;554.07504;543.26475;586.68731;542.57413;543.95734;500.88822;564.02504;467.6325;605.09882;624.04184;562.20088;600.18609;512.97026;4;3;3;3;4
50010111;2;18;2;1;2;2;1;2;1;2;2;2;1;2;1;2;5;1;3;1;1;2;3;1;4;4;4;4;1;4;1;1;1;2;1;4;4;4;4;4;1;4;4;4;4;1;1;1;1;1;1;1;1;1;1;1;4;4;4;1;1;1;1;3;1;1;4;1;4;1;1;1;1;1;1;1;4;4;4;1;9.83;8.261494;0.0518;1;7;567.72253;541.65283;611.94404;592.47211;565.92959;625.08542;593.51609;568.93056;532.46778;600.34483;627.98177;594.89144;539.11158;578.37076;612.98671;542.77889;562.74367;571.39003;579.37283;556.64242;577.38177;601.48579;594.59509;618.58485;580.45207;4;3;4;4;4
50010112;1;10;1;1;3;1;1;1;2;2;9;2;2;2;1;2;5;3;4;1;1;2;3;4;3;4;4;4;1;1;1;1;1;1;1;3;4;4;4;4;3;4;4;4;4;1;1;1;2;2;2;1;1;1;2;1;1;1;1;1;1;1;1;1;2;4;1;1;3;3;1;3;4;1;1;1;1;4;4;4;9.83;8.261494;0.0518;1;7;534.94637;613.30305;581.26682;544.0797;529.10902;529.48444;587.38693;598.08443;568.3864;538.15638;539.97709;577.96198;602.9153;595.07587;517.1886;620.11689;594.4781;549.25703;541.33841;525.43624;645.50649;616.68027;526.35273;540.49666;565.54086;3;4;4;3;3
50010113;1;11;1;2;4;1;1;1;1;2;1;2;1;2;1;2;5;1;9;3;3;2;1;2;2;1;3;4;4;2;1;2;2;1;1;4;2;2;3;3;4;3;4;4;3;1;1;2;1;1;2;1;1;1;2;3;3;3;3;1;1;2;1;1;3;2;2;1;4;1;1;1;2;1;1;1;2;2;4;4;9.83;8.261494;0.0518;1;7;503.41672;515.82975;550.33423;582.24387;519.84154;515.42304;606.0373;557.7893;582.09001;553.15775;516.35507;598.7203;569.71924;587.25514;533.64039;596.18028;600.88217;569.51798;573.18274;535.65525;581.62324;559.86953;582.75179;573.0567;547.98635;3;3;4;4;3
